
Negative_1:23.366406986893917 :766
Negative_2:6.017778558144309 :448
Negative_3:42.82119227822661 :1413
Positive_4:-9.151977280062095 :594
Positive_5:-36.270577841625325 :1249
Positive_6:18.863537592630536 :941

Negative_1:15.110835970497128 :991
Negative_2:26.642968729054882 :1019
Negative_3:2.997111655658218 :1568
Positive_4:-12.492285672084192 :935
Positive_5:-8.044561989084043 :594
Positive_6:-6.811008664870174 :635

Negative_1:24.95716388011194 :1125 :0.02218414567121061
Negative_2:5.324391981215966 :1390 :5.383049782821293
Negative_3:-24.428054683712013 :730 :1.6536911392175324
Positive_4:25.94541007785039 :920 :7.8201532693315645
Positive_5:-3.8628761300393357 :835 :4.537380104186906
Positive_6:17.5185034950342 :640 :7.737266171099094

Negative_1:-9.358764508369637 :681 :3.6257320839398477
Negative_2:1.7745780314048902 :335 :5.529724785493997
Negative_3:-4.671094901526724 :1031 :4.546935509066273
Positive_4:20.587337020758884 :1290 :6.595917598508441
Positive_5:-6.418558549577113 :624 :3.9713848478241807
Positive_6:22.249056304892854 :963 :7.31039006281338

Evaulated_text_1:-0.453494510010374 :655 :4.930764196944981
Evaulated_text_2:-21.276474234969903 :718 :2.036702752789707
Evaulated_text_3:-10.677748111712273 :748 :3.572493567952905
Evaulated_text_4:3.701054799486171 :806 :5.4591879403829
Evaulated_text_5:-4.218231049860729 :680 :4.379671904432246
Evaulated_text_6:21.2172748494935 :731 :7.902499979410876

neg_0.txt_1:-0.453494510010374 :655 :4.930764196944981
neg_1.txt_2:-21.276474234969903 :718 :2.036702752789707
neg_2.txt_3:-10.677748111712273 :748 :3.572493567952905
pos_0.txt_4:3.701054799486171 :806 :5.4591879403829
pos_1.txt_5:-4.218231049860729 :680 :4.379671904432246
pos_2.txt_6:21.2172748494935 :731 :7.902499979410876

neg_0.txt_1:-0.453494510010374 :655 :4.930764196944981
neg_1.txt_2:-21.276474234969903 :718 :2.036702752789707
neg_2.txt_3:-10.677748111712273 :748 :3.572493567952905
pos_0.txt_4:3.701054799486171 :806 :5.4591879403829
pos_1.txt_5:-4.218231049860729 :680 :4.379671904432246
pos_2.txt_6:21.2172748494935 :731 :7.902499979410876

neg_0.txt_1:-0.453494510010374 :655 :4.930764196944981
neg_1.txt_2:-21.276474234969903 :718 :2.036702752789707
neg_2.txt_3:-10.677748111712273 :748 :3.572493567952905
personally_written_review.txt_4:-1.661818826503505 :473 :4.648664095876637
pos_0.txt_5:3.701054799486171 :806 :5.4591879403829
pos_1.txt_6:-4.218231049860729 :680 :4.379671904432246
pos_2.txt_7:21.2172748494935 :731 :7.902499979410876

neg_0.txt_1:-0.453494510010374 :655 :5
neg_1.txt_2:-21.276474234969903 :718 :5
neg_2.txt_3:-10.677748111712273 :748 :5
personally_written_review.txt_4:-1.661818826503505 :473 :5
pos_0.txt_5:3.701054799486171 :806 :5.4591879403829
pos_1.txt_6:-4.218231049860729 :680 :5
neg_0.txt_1:-0.453494510010374 :655 :4.930764196944981
neg_1.txt_2:-21.276474234969903 :718 :2.036702752789707
neg_0.txt_1:-0.453494510010374 :655 :4.930764196944981
neg_1.txt_2:-21.276474234969903 :718 :2.036702752789707
neg_2.txt_3:-10.677748111712273 :748 :3.572493567952905
personally_written_review.txt_4:-1.661818826503505 :473 :4.648664095876637
pos_0.txt_5:3.701054799486171 :806 :5.4591879403829
pos_1.txt_6:-4.218231049860729 :680 :4.379671904432246
pos_2.txt_7:21.2172748494935 :731 :7.902499979410876

neg_0.txt_1:3.066788327642602 :655 :5.468211958418718
neg_1.txt_2:-18.652590023767235 :718 :2.4021462362441177
neg_2.txt_3:-7.878672678547007 :748 :3.9467015135632346
personally_written_review.txt_4:0.050264149131538705 :473 :5.010626670006668
pos_0.txt_5:-0.7628292553987608 :806 :4.905356171786754
pos_1.txt_6:-4.197865539293323 :680 :4.382666832456865
neg_0.txt_1:3.066788327642602 :655 :5.468211958418718
neg_1.txt_2:-18.652590023767235 :718 :2.4021462362441177
neg_2.txt_3:-7.878672678547007 :748 :3.9467015135632346
personally_written_review.txt_4:0.050264149131538705 :473 :5.010626670006668
pos_0.txt_5:-0.7628292553987608 :806 :4.905356171786754
pos_1.txt_6:-4.197865539293323 :680 :4.382666832456865
pos_2.txt_7:11.286840143310513 :731 :6.5440273793858434

neg_0.txt_1:3.066788327642602 :655 :5.468211958418718
neg_1.txt_2:-18.652590023767235 :718 :2.4021462362441177
neg_2.txt_3:-7.878672678547007 :748 :3.9467015135632346
personally_written_review.txt_4:0.050264149131538705 :473 :5.010626670006668
pos_0.txt_5:-0.7628292553987608 :806 :4.905356171786754
pos_1.txt_6:-4.197865539293323 :680 :4.382666832456865
pos_2.txt_7:11.286840143310513 :731 :6.5440273793858434

neg_0.txt_1:3.066788327642602 :655 :5.468211958418718
neg_1.txt_2:-18.652590023767235 :718 :2.4021462362441177
neg_2.txt_3:-7.878672678547007 :748 :3.9467015135632346
personally_written_review.txt_4:0.050264149131538705 :473 :5.010626670006668
pos_0.txt_5:-0.7628292553987608 :806 :4.905356171786754
pos_1.txt_6:-4.197865539293323 :680 :4.382666832456865
pos_2.txt_7:11.286840143310513 :731 :6.5440273793858434

neg_0.txt_1:0 :655 :5.0
neg_1.txt_2:0 :718 :5.0
neg_2.txt_3:0 :748 :5.0
personally_written_review.txt_4:0 :473 :5.0
pos_0.txt_5:0 :806 :5.0
pos_1.txt_6:0 :680 :5.0
neg_0.txt_1:3.066788327642602 :655 :5.468211958418718
neg_1.txt_2:-18.652590023767235 :718 :2.4021462362441177
neg_2.txt_3:-7.878672678547007 :748 :3.9467015135632346
personally_written_review.txt_4:0.050264149131538705 :473 :5.010626670006668
pos_0.txt_5:-0.7628292553987608 :806 :4.905356171786754
pos_1.txt_6:-4.197865539293323 :680 :4.382666832456865
pos_2.txt_7:11.286840143310513 :731 :6.5440273793858434

neg_0.txt_1:3.066788327642602 :655 :5.468211958418718
neg_1.txt_2:-18.652590023767235 :718 :2.4021462362441177
neg_2.txt_3:-7.878672678547007 :748 :3.9467015135632346
personally_written_review.txt_4:0.050264149131538705 :473 :5.010626670006668
pos_0.txt_5:-0.7628292553987608 :806 :4.905356171786754
pos_1.txt_6:-4.197865539293323 :680 :4.382666832456865
pos_2.txt_7:11.286840143310513 :731 :6.5440273793858434

neg_0.txt_1:3.066788327642602 :655 :5.468211958418718
neg_1.txt_2:-18.652590023767235 :718 :2.4021462362441177
neg_2.txt_3:-7.878672678547007 :748 :3.9467015135632346
personally_written_review.txt_4:0.050264149131538705 :473 :5.010626670006668
pos_0.txt_5:-0.7628292553987608 :806 :4.905356171786754
pos_1.txt_6:-4.197865539293323 :680 :4.382666832456865
pos_2.txt_7:11.286840143310513 :731 :6.5440273793858434

neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_1.txt_2:-18.731367137151352 :718 :2.3911744934329593
neg_2.txt_3:-11.27584494059323 :748 :3.4925340988511726
personally_written_review.txt_4:1.0333264252254613 :473 :5.218462246347878
pos_0.txt_5:1.6188496469336522 :806 :5.200849832125764
pos_1.txt_6:-3.8070755862611563 :680 :4.440135943196889
pos_2.txt_7:17.046142935961978 :731 :7.331893698490011

neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_1.txt_2:-18.731367137151352 :718 :2.3911744934329593
neg_2.txt_3:-11.27584494059323 :748 :3.4925340988511726
personally_written_review.txt_4:1.0333264252254613 :473 :5.218462246347878
pos_0.txt_5:1.6188496469336522 :806 :5.200849832125764
pos_1.txt_6:-3.8070755862611563 :680 :4.440135943196889
pos_2.txt_7:17.046142935961978 :731 :7.331893698490011

neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_1.txt_2:-18.731367137151352 :718 :2.3911744934329593
neg_2.txt_3:-11.27584494059323 :748 :3.4925340988511726
personally_written_review.txt_4:1.0333264252254613 :473 :5.218462246347878
pos_0.txt_5:1.6188496469336522 :806 :5.200849832125764
pos_1.txt_6:-3.8070755862611563 :680 :4.440135943196889
pos_2.txt_7:17.046142935961978 :731 :7.331893698490011

neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_1.txt_2:-18.731367137151352 :718 :2.3911744934329593
neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_1.txt_2:-18.731367137151352 :718 :2.3911744934329593
neg_2.txt_3:-11.27584494059323 :748 :3.4925340988511726
personally_written_review.txt_4:1.0333264252254613 :473 :5.218462246347878
pos_0.txt_5:1.6188496469336522 :806 :5.200849832125764
pos_1.txt_6:-3.8070755862611563 :680 :4.440135943196889
pos_2.txt_7:17.046142935961978 :731 :7.331893698490011

neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_1.txt_2:-18.731367137151352 :718 :2.3911744934329593
neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_1.txt_2:-18.731367137151352 :718 :2.3911744934329593
neg_2.txt_3:-11.27584494059323 :748 :3.4925340988511726
personally_written_review.txt_4:1.0333264252254613 :473 :5.218462246347878
pos_0.txt_5:1.6188496469336522 :806 :5.200849832125764
neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_1.txt_2:-18.731367137151352 :718 :2.3911744934329593
neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_1.txt_2:-18.731367137151352 :718 :2.3911744934329593
neg_2.txt_3:-11.27584494059323 :748 :3.4925340988511726
personally_written_review.txt_4:1.0333264252254613 :473 :5.218462246347878
pos_0.txt_5:1.6188496469336522 :806 :5.200849832125764
pos_1.txt_6:-3.8070755862611563 :680 :4.440135943196889
pos_2.txt_7:17.046142935961978 :731 :7.331893698490011

neg_0.txt_1:-1.0986034570584493 :655 :4.832274281365122
neg_1.txt_2:-18.731367137151352 :718 :2.3911744934329593
neg_2.txt_3:-11.27584494059323 :748 :3.4925340988511726
personally_written_review.txt_4:1.0333264252254613 :473 :5.218462246347878
pos_0.txt_5:1.6188496469336522 :806 :5.200849832125764
pos_1.txt_6:-3.8070755862611563 :680 :4.440135943196889
pos_2.txt_7:17.046142935961978 :731 :7.331893698490011

neg_0.txt_1:-5.822017627637185 :655 :4.111142346925621
neg_1.txt_2:-1.4105134576995573 :718 :4.803549657702011
neg_2.txt_3:-8.190132193976762 :748 :3.9050625409121977
personally_written_review.txt_4:0.7885965933292978 :473 :5.166722324171099
pos_0.txt_5:6.659394187093253 :806 :5.82622756663688
pos_1.txt_6:-0.07881884774973918 :680 :4.98840899297798
pos_2.txt_7:13.469443076364966 :731 :6.842605072006151

neg_0.txt_1:-6.632188147019913 :655 :3.9874521912946697
neg_1.txt_2:-0.6229237165926039 :718 :4.913241822201587
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.8896497886448476 :473 :5.188086636077135
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:2.034714383676684 :680 :5.299222703481865
pos_2.txt_7:12.999642653282516 :731 :6.778336888273942

neg_0.txt_1:-4.165391784701051 :655 :4.364062322946404
neg_0.txt_1:-6.632188147019913 :655 :3.9874521912946697
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_0.txt_1:-6.632188147019913 :655 :3.9874521912946697
neg_1.txt_2:-0.6229237165926039 :718 :4.913241822201587
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.8896497886448476 :473 :5.188086636077135
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:2.034714383676684 :680 :5.299222703481865
pos_2.txt_7:12.999642653282516 :731 :6.778336888273942

neg_0.txt_1:-6.632188147019913 :655 :3.9874521912946697
neg_1.txt_2:-0.6229237165926039 :718 :4.913241822201587
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.8896497886448476 :473 :5.188086636077135
neg_0.txt_1:-6.632188147019913 :655 :3.9874521912946697
neg_1.txt_2:-0.6229237165926039 :718 :4.913241822201587
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.8896497886448476 :473 :5.188086636077135
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:2.034714383676684 :680 :5.299222703481865
pos_2.txt_7:12.999642653282516 :731 :6.778336888273942

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-4.071228799492521 :655 :4.378438351222516
neg_1.txt_2:-1.83385706444367 :718 :4.744588152584447
neg_2.txt_3:-13.176813784334493 :748 :3.2383938790996667
personally_written_review.txt_4:1.7842217874963169 :473 :5.377213908561589
pos_0.txt_5:3.70433414114407 :806 :5.459594806593557
pos_1.txt_6:-0.42496740117381643 :680 :4.937504793945027
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_1.txt_2:-0.6154485960304573 :718 :4.914282925343947
neg_2.txt_3:-8.96934501225959 :748 :3.8008897042433705
personally_written_review.txt_4:0.9451655165551403 :473 :5.199823576438719
pos_0.txt_5:5.361181103386058 :806 :5.6651589458295355
pos_1.txt_6:1.3774470937033423 :680 :5.2025657490740205
pos_2.txt_7:12.521723362781218 :731 :6.712958052364051
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357
neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357

neg_0.txt_1:-6.697241773700617 :655 :3.9775203398930357

